Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,C19702
C2,0603,1,22uF,C59461
C3,0603,1,0.22uF,C21120
C4,0603,1,0.1uF,C14663
C5,0603,1,4.7uF,C19666
C6,0603,1,1uF,C15849
J1,PinSocket_1x06_P2.54mm_Horizontal,1,MB10XX Sonar,
L1,IND-SMD_L3.0-W3.0_VLS3010ET,1,3.3μH,C136236
M1,LD14,1,LD14,
Q2,AO3400A,1,AO3400A,C20917
"R1, R2",0603,2,10KΩ,C25804
R5,0603,1,100KΩ,C25803
R6,0603,1,20KΩ,C4184
R7,0603,1,1K,C21190
U1,WSON-6_L2.0-W2.0-P0.65-BL-EP,1,TPS61291DRVR,C464809
U2,LGA-16_L3.0-W3.0-P0.50-BL_SQ,1,QMC5883L(0x0D),C976032
U3,WSOF-6_L2.6-W1.6-P0.50-TL-EP,1,BH1750FVI(0x23),C78960
